label,example_rank,confidence,text,top_attention_tokens,top_attention_scores
love,4,0.9930234,i feel affectionate toward him,"feel, affectionate, i, toward, him","0.2579, 0.2548, 0.2102, 0.0989, 0.0540"
love,5,0.9929721,i was bonded to that point in time and still feel fond of this memory,"feel, i, fond, still, and, was, of, this","0.1650, 0.1301, 0.1217, 0.1185, 0.0924, 0.0778, 0.0464, 0.0427"
anger,1,0.99823284,im feeling angry at someone i do something thoughtful for her and my feelings toward her soften,"feeling, i, my, im, angry, and, at, do","0.2144, 0.1303, 0.0858, 0.0753, 0.0721, 0.0692, 0.0369, 0.0325"
anger,2,0.9982078,i was feeling rather cranky cos i was thinking about the lack of sleep i had bah,"cranky, i, feeling, was, i, rather, i, cos","0.1338, 0.1200, 0.0791, 0.0762, 0.0734, 0.0729, 0.0711, 0.0694"
anger,3,0.99819285,ive struggled mightily through today and even though i feel cranky and tired and unmotivated still i really am not going to be going to sleep before eleven thirty,"i, feel, i, cranky, ive, and, and, and","0.1038, 0.0891, 0.0770, 0.0749, 0.0688, 0.0682, 0.0449, 0.0420"
anger,4,0.99818736,i just plain feel envious of the self confidence they had,"feel, i, envious, just, plain, they, had, of","0.2056, 0.1545, 0.1460, 0.1091, 0.0520, 0.0474, 0.0407, 0.0326"
anger,5,0.99816436,i also didnt feel i could be mad at god because i know inside me that god does nothing without a purpose,"i, i, feel, didnt, could, be, i, also","0.1030, 0.0936, 0.0820, 0.0819, 0.0699, 0.0656, 0.0637, 0.0534"
fear,1,0.99739337,i still feel nervous,"feel, i, still, nervous","0.2680, 0.2270, 0.1602, 0.1354"
fear,2,0.9973923,i feel nervous about leaving my kid with you,"feel, i, nervous, my, about, you, leaving, with","0.2661, 0.2128, 0.0962, 0.0793, 0.0689, 0.0488, 0.0210, 0.0095"
fear,3,0.9973717,i walked near the hotel and i felt very obvious and uneasy all the warnings about petty crime i read in the guidebook and maybe some residual from years ago left me feeling threatened,"felt, i, and, i, feeling, and, i, very","0.1276, 0.0967, 0.0724, 0.0700, 0.0652, 0.0599, 0.0594, 0.0530"
fear,4,0.9973652,i feel quite reluctant to pick up a dance with dragons book because once i m done with that who knows how long i d have to wait for martin to finish his next installment it took him years to release a dance with dragons after a feast for crows,"feel, i, quite, i, reluctant, because, i, m","0.1473, 0.1280, 0.0869, 0.0702, 0.0667, 0.0621, 0.0617, 0.0581"
fear,5,0.99736243,i still feel frightened of the world yet no where near as much as i used to,"feel, i, still, i, yet, frightened, no, of","0.2047, 0.1517, 0.1099, 0.0831, 0.0593, 0.0561, 0.0339, 0.0224"
surprise,1,0.989068,i type these words i feel like i shouldn t be surprised,"feel, like, i, i, i, be, t, shouldn","0.1330, 0.1028, 0.0894, 0.0878, 0.0861, 0.0823, 0.0755, 0.0702"
surprise,2,0.9889291,i feel like they bring the characters to life completely and i m always kind of surprised what the actors do do together,"feel, i, like, m, i, always, and, surprised","0.1152, 0.0786, 0.0741, 0.0684, 0.0680, 0.0657, 0.0650, 0.0617"
surprise,3,0.9888877,i always feel very shocked by that me threatening,"feel, always, very, i, me, shocked, by, that","0.2090, 0.1474, 0.1428, 0.1270, 0.0690, 0.0688, 0.0365, 0.0361"
surprise,4,0.98885417,i got home and told peter how i was feeling he wasnt shocked at all by what i was telling him,"feeling, wasnt, was, he, i, how, i, shocked","0.1112, 0.0915, 0.0715, 0.0678, 0.0589, 0.0549, 0.0518, 0.0477"
surprise,5,0.98881745,i feel a little stunned but can t imagine what the folks who were working in the studio up until this morning are feeling,"feel, feeling, i, little, a, stunned, but, are","0.1334, 0.1072, 0.0874, 0.0868, 0.0728, 0.0686, 0.0614, 0.0568"
